2025-06-12 03:19:34,363 - INFO - Starting QApplication
2025-06-12 03:19:34,371 - INFO - Initializing ParserApp
2025-06-12 03:19:34,501 - INFO - ParserApp UI initialized successfully
2025-06-12 03:19:34,572 - INFO - Application window shown
2025-06-12 03:19:45,480 - INFO - Start parsing button clicked
2025-06-12 03:19:45,481 - INFO - Starting parsing with query='кран шаровой', max_products=30000, output_file='куку.xlsx'
2025-06-12 03:19:45,485 - INFO - Запуск парсера с запросом: кран шаровой
2025-06-12 03:19:45,492 - INFO - Инициализация браузера
2025-06-12 03:19:54,213 - INFO - Переход на сайт Ozon
2025-06-12 03:19:58,485 - INFO - Ввод поискового запроса: кран шаровой
2025-06-12 03:20:05,504 - INFO - Поисковый запрос отправлен
2025-06-12 03:20:05,506 - INFO - Браузер успешно открыт
2025-06-12 03:20:06,036 - INFO - Найдено элементов на текущей итерации: 48
2025-06-12 03:20:06,134 - INFO - Собрано новых ссылок: 24, всего: 24
2025-06-12 03:20:06,681 - INFO - Найдено элементов на текущей итерации: 48
2025-06-12 03:20:06,796 - INFO - Собрано новых ссылок: 24, всего: 24
2025-06-12 03:20:07,317 - INFO - Найдено элементов на текущей итерации: 48
2025-06-12 03:20:07,422 - INFO - Собрано новых ссылок: 24, всего: 24
2025-06-12 03:20:07,946 - INFO - Найдено элементов на текущей итерации: 72
2025-06-12 03:20:08,095 - INFO - Собрано новых ссылок: 36, всего: 36
2025-06-12 03:20:08,619 - INFO - Найдено элементов на текущей итерации: 72
2025-06-12 03:20:08,775 - INFO - Собрано новых ссылок: 36, всего: 36
2025-06-12 03:20:09,301 - INFO - Найдено элементов на текущей итерации: 72
2025-06-12 03:20:09,453 - INFO - Собрано новых ссылок: 36, всего: 36
2025-06-12 03:20:09,972 - INFO - Найдено элементов на текущей итерации: 72
2025-06-12 03:20:10,125 - INFO - Собрано новых ссылок: 36, всего: 36
2025-06-12 03:20:10,652 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:10,848 - INFO - Собрано новых ссылок: 48, всего: 48
2025-06-12 03:20:11,373 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:11,561 - INFO - Собрано новых ссылок: 48, всего: 48
2025-06-12 03:20:12,095 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:12,304 - INFO - Собрано новых ссылок: 48, всего: 48
2025-06-12 03:20:12,831 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:13,036 - INFO - Собрано новых ссылок: 48, всего: 60
2025-06-12 03:20:13,562 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:13,767 - INFO - Собрано новых ссылок: 48, всего: 60
2025-06-12 03:20:14,294 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:14,482 - INFO - Собрано новых ссылок: 48, всего: 60
2025-06-12 03:20:15,016 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:15,222 - INFO - Собрано новых ссылок: 48, всего: 60
2025-06-12 03:20:15,748 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:15,956 - INFO - Собрано новых ссылок: 48, всего: 72
2025-06-12 03:20:16,481 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:16,661 - INFO - Собрано новых ссылок: 48, всего: 72
2025-06-12 03:20:17,204 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:17,396 - INFO - Собрано новых ссылок: 48, всего: 72
2025-06-12 03:20:17,934 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:18,158 - INFO - Собрано новых ссылок: 48, всего: 84
2025-06-12 03:20:18,694 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:18,881 - INFO - Собрано новых ссылок: 48, всего: 84
2025-06-12 03:20:19,403 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:19,603 - INFO - Собрано новых ссылок: 48, всего: 84
2025-06-12 03:20:20,131 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:20,335 - INFO - Собрано новых ссылок: 48, всего: 84
2025-06-12 03:20:20,861 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:21,068 - INFO - Собрано новых ссылок: 48, всего: 96
2025-06-12 03:20:21,591 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:21,774 - INFO - Собрано новых ссылок: 48, всего: 96
2025-06-12 03:20:22,297 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:22,485 - INFO - Собрано новых ссылок: 48, всего: 96
2025-06-12 03:20:23,012 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:23,216 - INFO - Собрано новых ссылок: 48, всего: 108
2025-06-12 03:20:23,769 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:23,976 - INFO - Собрано новых ссылок: 48, всего: 108
2025-06-12 03:20:24,500 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:24,703 - INFO - Собрано новых ссылок: 48, всего: 108
2025-06-12 03:20:25,231 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:25,425 - INFO - Собрано новых ссылок: 48, всего: 108
2025-06-12 03:20:25,952 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:26,156 - INFO - Собрано новых ссылок: 48, всего: 120
2025-06-12 03:20:26,709 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:26,919 - INFO - Собрано новых ссылок: 48, всего: 120
2025-06-12 03:20:27,450 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:27,654 - INFO - Собрано новых ссылок: 48, всего: 120
2025-06-12 03:20:28,185 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:28,397 - INFO - Собрано новых ссылок: 48, всего: 132
2025-06-12 03:20:28,955 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:29,167 - INFO - Собрано новых ссылок: 48, всего: 132
2025-06-12 03:20:29,690 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:29,897 - INFO - Собрано новых ссылок: 48, всего: 132
2025-06-12 03:20:30,419 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:30,599 - INFO - Собрано новых ссылок: 48, всего: 132
2025-06-12 03:20:31,120 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:31,313 - INFO - Собрано новых ссылок: 48, всего: 144
2025-06-12 03:20:31,843 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:32,040 - INFO - Собрано новых ссылок: 48, всего: 144
2025-06-12 03:20:32,567 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:32,769 - INFO - Собрано новых ссылок: 48, всего: 144
2025-06-12 03:20:33,297 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:33,496 - INFO - Собрано новых ссылок: 48, всего: 156
2025-06-12 03:20:34,043 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:34,243 - INFO - Собрано новых ссылок: 48, всего: 156
2025-06-12 03:20:34,770 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:34,972 - INFO - Собрано новых ссылок: 48, всего: 156
2025-06-12 03:20:35,493 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:35,695 - INFO - Собрано новых ссылок: 48, всего: 156
2025-06-12 03:20:36,214 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:36,412 - INFO - Собрано новых ссылок: 48, всего: 168
2025-06-12 03:20:36,940 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:37,150 - INFO - Собрано новых ссылок: 48, всего: 168
2025-06-12 03:20:37,679 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:37,882 - INFO - Собрано новых ссылок: 48, всего: 168
2025-06-12 03:20:38,408 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:38,625 - INFO - Собрано новых ссылок: 48, всего: 180
2025-06-12 03:20:39,151 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:39,346 - INFO - Собрано новых ссылок: 48, всего: 180
2025-06-12 03:20:39,871 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:40,074 - INFO - Собрано новых ссылок: 48, всего: 180
2025-06-12 03:20:40,604 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:40,813 - INFO - Собрано новых ссылок: 48, всего: 180
2025-06-12 03:20:41,331 - INFO - Найдено элементов на текущей итерации: 96
2025-06-12 03:20:41,540 - INFO - Собрано новых ссылок: 48, всего: 192
2025-06-12 03:20:42,060 - INFO - Найдено элементов на текущей итерации: 96
